,sentence
16504,Je kan van februari tot diep in de zomer bloembollen toevoegen aan je tuin.
16505,Bloembollen zijn het mooist als ze een beetje ‘toevallig’ geplant worden.
16506,"Vallen de bollen onder planten waar ze nooit goed gaan kunnen groeien (bijvoorbeeld een vol, groenblijvend struik)?"
16507,"Hoe diep je de bloembollen in de grond moet planten, hangt af van de soort."
16508,"De bollen die Nora op haar groendak heeft geplant, moesten bijvoorbeeld op een diepte van 3x de breedte van de bol."
16509,Volg de richtlijnen die op de verpakking staan of die je meekrijgt bij de aankoop.
16510,"Die is onderaan smal, dus voor een iets bredere bol moet je best diep prikken om het gat groot genoeg te krijgen."
16511,Een bollenplanter werkt veel handiger bij brede bollen en is de investering zeker waard.
16512,Gebruik je fantasie en fantaseer nu al over hoe je tuin of dak er over enkele maanden uit zal zien.
16513,"Bloembollen vind je voor in de zon en de halfschaduw, de meeste kan je nog tot en met december planten, dus doen!"
16514,"Het militaire complex ligt aan de overkant van de vijver, goed verstopt tussen de bomen en planten."
16515,"Dat vinden ze vaak in hout maar ook stenen, en vooral dan de voegen, zijn zeer geliefd."
16516,Het enige dat je kunt doen is alle mogelijke gaatjes waarin ze kunnen huizen dichtstoppen.
16517,De twee meest algemene metselbijsoorten die in ons land voorkomen zijn de Gehoornde metselbij en de Rosse metselbij.
16518,Dit zorgt bij veel mensen vaak voor een associatie met wespennesten en levert geregeld angstreacties op.
16519,Een 'bij'zonder leuke doe-opdracht Kan jij de 5 verschillen tussen de twee prenten vinden?
16520,"U komt op de parking van het Universiteitsplein , waar ook de oefenterreinen liggen van KFCO Beerschot-Wilrijk ."
16521,Aan het kruispunt met verkeerslichten gaat u naar links de Doornstraat in.
16522,"Daarna is er, 100 meter voor het kruispunt met de Kleine Doornstraat, een ingang van het park."
16523,"Een alternatief voor een gazon Toen Lola en haar partner hun huis in Borgerhout kochten, lag er wel gewoon gras in de tuin en dat vonden ze best."
16524,De oplossing kwam uiteindelijk in de vorm van low-budget waterdoorlaatbare kiezels.
16525,Die verhinderde dat het regenwater goed kon weglopen en maakte de tuin nat en drassig.
16526,De juiste plant op de juiste plaats Ook de plantenkeuze was niet meteen prijs.
16527,"De planten die er zo mooi bij stonden in het tuincentrum, deden het niet goed in eigen tuin."
16528,Na enkele jaren sukkelen riep Lola de hulp in van een vriend met veel plantenkennis.
16529,Met dit project organiseren wij circuskampen en lessenreeksen voor jongeren die opgroeien in uitdagende thuissituaties en met intrafamiliaal geweld in aanraking komen.
16530,Wij gebruiken de HOOP-methodiek om de jongeren te versterken op een speelse manier.
16531,Door eigen circustechnieken uit te kiezen gaan wij concreet aan de slag en bekijken we samen de invulling van het kamp of de les.
16532,Nadien ondersteunen we via individuele momenten zodat we bepaalde doelen bereiken.
16533,"Hoe zal Jan zijn eerste salto springen, welke stapjes moet hij daarvoor eerst zetten?"
16534,Dat zijn allemaal voorbeelden waar we het HOOP-denken concreet en klein op toepassen.
16535,"We leren de jongeren om hun doel te bekijken, na te denken, te proberen, zaken aan te passen en opnieuw te proberen."
16536,"Zie jij nog verbeterpunten? ""HOOP is een positief verhaal met een boeiende en eenvoudige insteek die je voor iedereen kan inzetten."
16537,Maar je kan het evengoed ook heel klein en praktisch houden afhankelijk van de noden van het kind.
16538,"In circus kan niemand alles, maar iedereen kan iets!"" Heb jij tips voor collega’s om dit in de praktijk toe te passen? ""Maak het concreet en begin heel klein."
16539,"Geef voorbeelden, maak het tastbaar, laat de jongeren zelf proberen en bevraag hun gedachtegang."
16540,"Praten en voelen is moeilijk voor veel kinderen, maar vanuit lichamelijk beweging en activiteit kom je tot verbinding van geest en emotie."
16541,Maak duidelijk dat deze manier van denken en werken ook toepasbaar is op heel wat andere aspecten van het leven.
16542,Deze sessies zijn enkel bestemd voor ondernemers die al samenwerken met stad Antwerpen in het kader van artikel 60.
16543,Je bent een nieuwe werkgever artikel 60 Je bent een nieuwe collega bij een werkgever artikel 60 De sessie is relevant voor HR-medewerkers én leidinggevenden van artikel 60-medewerkers.
16544,De medewerker kan toegang krijgen tot specifieke functies met meer ondersteuning waardoor de kans op een mooie toekomst groter wordt.
16545,Medewerkers van stad Antwerpen maken een dossier op en hebben daarvoor jouw hulp nodig.
16546,Inhoud Hoe herken je rendementsverlies en een verhoogde ondersteuningsnood bij een artikel 60-medewerker?
16547,Inhoud De verschillende taalniveaus van artikel 60-medewerkers Hoe communiceer je succesvol met een artikel 60-medwerker?
16548,Het artikel 60-traject is naast een werkervaringstraject ook een groeitraject.
16549,Op vaste momenten brengen we samen de groei van een artikel 60-medewerker in kaart door evaluaties .
16550,"Artikel 60-medewerkers met een arbeidsovereenkomst vanaf 3 maanden, hebben recht op maaltijdcheques."
16551,Het aantal toegekende maaltijdcheques is gelijk aan het aantal gepresteerde dagen van de artikel 60-medewerker.
16552,Dat aantal dagen berekenen we door het totaal aantal effectief gepresteerde uren in die maand te delen door het normaal aantal arbeidsuren per dag.
16553,"Levert die bewerking een decimaal getal op, dan ronden we het af naar boven."
16554,Artikel 60-medewerkers krijgen altijd maaltijdcheques in de maand die volgt op de maand dat ze de prestaties ervoor leveren.
16555,Edenred stort de maaltijdcheques voor de prestaties van de maand april bijvoorbeeld einde mei op de maaltijdchequekaart.
16556,"Iedereen is welkom op de hoofdkazerne Post Noord, aan de Noorderlaan 69."
16557,"Voor het eerst sinds 2017 is er opnieuw een spectaculaire opendeurdag onder het motto ""Samen op weg""."
16558,Deze teams tonen hoe geavanceerde technieken en technologieën worden ingezet om levens te redden en incidenten succesvol aan te pakken.
16559,Daarnaast zijn er nog heel wat interactieve sessies en bijzonderheden te ontdekken zoals bv. het voertuigensalon .
16560,Rondleiding met tolk Vlaamse Gebarentaal - Nederlands We voorzien tijdens deze dag ook een rondleiding voor doven en slechthorenden .
16561,Die is voorzien onder begeleiding van een tolk Vlaamse Gebarentaal-Nederlands.
16562,Ook na de rondleiding blijft de tolk nog een hele dag beschikbaar aan het infopunt voor extra ondersteuning.
16563,"Voor deze inclusieve rondleiding hebben zich alvast een tiental mensen ingeschreven, maar extra deelnemers zijn nog steeds welkom."
16564,"Zo is er een zoektocht voorzien met opdrachten zodat kinderen op een speelse manier kennismaken met brandpreventie en ze kunnen op de foto met Mega Pooka , onze preventie-mascotte."
16565,Daarnaast zijn er twee blushuisjes waarbij kinderen en jongeren zelf het bluswerk mogen doen.
16566,"De demo’s die voor het grote publiek zijn, kunnen ze vanop de eerste rij meevolgen."
16567,De Antwerpse bevolking kan ook tijdens de festiviteiten blijven rekenen op de professionele en snelle hulp van Brandweer Zone Antwerpen.
16568,Alle praktische informatie over bv. bereikbaarheid vind je op www.opendeurdagbza.be .
16569,Ze zijn dus van toepassing op alle gebouwen die onder het toepassingsgebied vallen ongeacht hun bestemming.
16570,Vanaf 1 juli 2022 dient het Koninklijk Besluit van 7 juli 1994 (gecoördineerde versie op 20 mei 2022 ) toegepast te worden.
16571,In de gecoördineerde versie 20 mei 2022 van het KB van 7 juli 1994 staan de wijzigingen in het geel gemarkeerd.
16572,"Overzicht toepassing bijlagen van KB 7 juli 1994 m.b.t. basisnormen (gecoördineerde versie 20 mei 2022) Voor een gebouw met aanvraag tot bouw (*) vanaf 26 mei 1995 (middelhoge en hoge gebouwen), vanaf 1 januari 1998 (lage gebouwen), vanaf 15 augustus 2009 (industriegebouwen) en vóór 1 december 2012 dienen de bijlagen 1, 2 of 2/1, 3 of 3/1, 4 of 4/1, 5 of 5/1, 6 en 7 gehanteerd te worden."
16573,"Stedenbouwkundige vergunning, omgevingsvergunning, stedenbouwkundige melding) of bij gebrek hieraan de begindatum van de bouwwerken."
16574,KB 7-7-1994 (versie 20 mei 2022) [pdf] [4.69MB] Iets fout of onduidelijk op deze pagina?
16575,"Meer groen is goed voor je humeur , vermindert stress – en is een oase van rust in een bruisend district Antwerpen."
16576,Lees er alles over op www.districtantwerpen.be/ontharden Lees meer Welk voortuintype ben jij?
16577,Ziektecontrole Vraag een controle aan indien je misbruik van afwezigheden door ziekte vermoed.
16578,"Ziektevergoeding Bij afwezigheid door ziekte van de artikel 60 medewerker, geldt de wetgeving over het gewaarborgd loon."
16579,Arbeidsongeval Onmiddellijke melding wanneer een artikel 60-medewerker een arbeidsongeval heeft.
16580,Uitzonderlijke schorsing Een schorsing is niet altijd bedoeld als sanctie.
16581,Ontslag om dringende reden Stad Antwerpen kan op elk ogenblik de arbeidsovereenkomst stopzetten om een dringende reden.
16582,"Bedrag, berekening en uitbetaling Loon tijdens de zwangerschap Kinderen ten laste en berekening van de bedrijfsvoorheffing Loonbrief Waarop moet je letten voor een juiste berekening van het loon?"
16583,"Afhankelijk van de maand berekenen we een onbetaalde afwezigheid aan 1/20ste, 1/21ste, 1/22ste of 1/23ste van het maandloon."
16584,We sluiten de loonberekening altijd af rond de 20ste dag van elke maand.
16585,Latere wijzigingen verrekenen we met het loon van de maand die daarop volgt.
16586,Uitbetalingskalender 2024 Januari Februari Maart April Laatste dag voor registratie 19/01/2024 19/02/2024 19/03/2024 19/04/2024 Betaling loon en maaltijdcheques 30/01/2024 28/02/2024 27/03/2024 29/04/2024 Mei Juni Juli Aug Laatste dag voor registratie 17/05/2024 19/06/2024 19/07/2024 19/08/2024 Betaling loon en maaltijdcheques 30/05/2024 27/06/2024 30/07/2024 29/08/2024 September Oktober November December Laatste dag voor registratie 19/09/2024 18/10/2024 19/11/2024 17/12/2024 Betaling loon en maaltijdcheques 27/09/2024 30/10/2024 28/11/2024 30/12/2024 Loon tijdens de zwangerschap Lees meer over de loonberekening tijdens het zwangerschapsverlof.
16587,Denk eraan Kinderen kunnen maar bij een van beide ouders ten laste zijn.
16588,Co-ouderschap Voor de berekening van de bedrijfsvoorheffing zijn de kinderen ten laste bij de ouder waarbij ze gedomicilieerd zijn.
16589,Mindervalide kind Het gaat hier om een kind waarvoor je kinderbijslag krijgt.
16590,De artikel 60-medewerker bezorgt best een attest van de handicap aan info.werkervaringsklant .
16591,De artikel 60-medewerker bezorgt het document aan info.werkervaringsklant .
16592,Docbox is een beveiligde digitale kluis waarop de artikel 60-medewerker zich aanmeldt met een eID of itsme.
16593,Artikel 60-medewerkers vinden een handleiding in de kaft 'activeringstraject' die ze voor de ondertekening van hun contract krijgen.
16594,"Een artikel 60-medewerker die meer ondersteuning nodig heeft, vraagt aan de begeleider om hem in te schrijven voor een infosessie."
16595,De rioleringswerken in de Potgieterstraat starten aan het kruispunt met de Pothoekstraat vanwege de afwateringsrichting.
16596,Daarnaast werd het concept van het plein in de Eggestraat uitgewerkt tot een definitief ontwerp.
16597,"Hier wordt ingezet op een groen plein, dat een aangename verblijfsruimte creëert."
16598,Er wordt ingezet op maximale ontharding en het plein krijgt een ruimte waar water vertraagd kan infiltreren.
16599,Parkeerbalans Het definitief ontwerp resulteert in een parkeerbalans van 42 plaatsen in de bestaande toestand naar 32 plaatsen in de nieuwe toestand.
16600,Dit is te wijten aan de nieuwe snelheidsremmers en aanpassingen voor de bereikbaarheid van de brandweer.
16601,Bomenbalans Het definitief ontwerp resulteert in een positieve bomenbalans van 35 bomen in bestaande toestand naar 47 bomen in nieuwe toestand.
16602,Van de bestaande bomen worden er 2 gekapt en vervangen door nieuwe exemplaren.
16603,"De nieuwe bomen zijn 7 Prunus padus ‘Albertii’, 3 Acer campestre, 3 Crataegus monogyna, 1 Ulmus laevis en 1 Pyrus calleryana ‘Chanticleer’."
16604,"Dit gebeurt door de bovenste 50 cm grond uit te graven om de infiltratiecapaciteit van de grond te verbeteren, 25cm waterdoorlatende fundering onder de parkeerstrook te voorzien en de plantvakken 10cm verlaagd aan te leggen. ​Goedkeuring districtscollege definitief ontwerp Potgieterstraat (21 maart 2022) Voorontwerp Voorontwerp Potgieterstraat (volledige versie in bijlages beschikbaar) Concept pleintje Ooievaarstraat - Eggestraat (volledige versie in bijlages beschikbaar) Digitaal inspraakmoment mei - juni 2020 Inspraak voorontwerp Schetsontwerp Goedkeuring districtscollege schetsontwerp Potgieterstraat (4 mei 2020) Voorbereidende nutswerken Planning nutswerken Meer informatie over nutswerken?"
16605,"Eerst als aanspreekpunt voor kwetsbare doelgroepen, nadien als brugpersoon tussen verschillende partners."
16606,Huis van het Kind Antwerpen-Kiel valt onder de socioculturele vzw van Solidaris.
16607,Die samenwerking kan je aangaan door zelf actief te netwerken of profielen te zoeken op de sociale kaart.
16608,Je moet vooral onthouden dat netwerken enkel mogelijk is door zelf uit je kot te komen.
16609,"Als je goed netwerkt, dan ken je ook de werking van de verschillende organisaties."
16610,Je leert collega's kennen waardoor doorverwijzen eenvoudiger en menselijker wordt.
16611,Wat maakt het werken in een netwerkcontext anders dan werken in je eigen dienst?
16612,"Het bundelen van krachten, het delen van werk en de energie die je krijgt van samenwerkingen zijn voor mij zeker de winsten."
16613,Uiteraard is netwerken ook uitdagend en op korte termijn tijdsintensief.
16614,Zo moet je verschillende organisaties en diverse visies op één lijn krijgen.
16615,"Maar de tijd en energie die je er insteekt, krijg je op langere termijn meer dan terug."
16616,Wat heb je als basiswerker nodig om goed te kunnen functioneren in netwerk?
16617,Ga naar netwerkmomenten zodat partnerorganisaties jou en je werking leren kennen.
16618,"Zet in het onderwerp 'Aanvraag ziektecontrole' Info+ weet zo over welke medewerker het exact gaat en heeft meteen alle gegevens, zoals het juiste verblijfsadres."
16619,Stad Antwerpen vraagt dat je als leidinggevende na elke controle-aanvraag een gesprek voert met de artikel 60-medewerker wanneer deze het werk hervat.
16620,Kan de artikel 60-medewerker niet naar de controledokter gaan op het tijdstip uit de sms door een medische reden (een ander doktersbezoek bijvoorbeeld)?
16621,"Tijdstip van controle De controledokter kan op alle dagen een controle uitvoeren, ook op weekend- en feestdagen."
16622,"Tijdens de eerste 3 dagen Tijdens de uren dat een ziektecontrole mogelijk is, moet de artikel 60-medewerker verplicht thuis blijven, ook al kreeg die de toestemming van een dokter om de woning te verlaten."
16623,"De controledokter laat een uitnodigingsbrief achter met instructies die de medewerker moet volgen. 2.Vanaf de vierde dag De artikel 60-medewerker mag vanaf de vierde dag de woning verlaten, als die de toelating van een dokter heeft."
16624,"De medewerker kan nog altijd opgeroepen worden door de controledokter of bezoek krijgen. 3.Thuisblijven op doktersvoorschrift Als de artikel 60-medewerker de woning niet mag verlaten op doktersvoorschrift, kan de controledokter de medewerker wel bezoeken op het verblijfsadres."
16625,De controledokter laat een brief achter met instructies die de medewerker moet volgen.
16626,"De onvolledige of onderbroken arbeidsdag beschouwen we niet als de eerste dag van de periode van gewaarborgd loon, maar als een gewerkte dag."
16627,"De periode van 30 dagen gewaarborgd loon voor arbeiders en bedienden start nooit vanaf de onderbroken arbeidsdag, wel vanaf de volgende dag."
16628,Artikel 60-medewerkers hebben het eerste jaar van hun traject artikel 60 meestal geen recht op een vergoeding van het ziekenfonds.
16629,Daarvoor moet de artikel 60-medewerker een wachttijd van een jaar doorlopen hebben.
16630,Bovendien moet hij binnen een referteperiode genoeg arbeidsdagen en arbeidsinkomen bewijzen.
16631,Is het maandelijkse inkomen van de artikel 60-medeweker lager dan de leefloonnorm?
16632,De artikel 60-medewerker kan via de begeleider een financiële tussenkomst bij een sociaal centrum aanvragen.
16633,De artikel 60-medewerker vraagt zijn ziekte-uitkering bij het ziekenfonds aan via het getuigschrift van arbeidsongeschiktheid (het ‘vertrouwelijke formulier’).
16634,Hij moet altijd de diagnose of de symptomen van de arbeidsongeschiktheid vermelden.
16635,De aangifte van arbeidsongeschiktheid moet voor arbeiders binnen 14 kalenderdagen gebeuren (begindatum ziekte + 13 dagen) en voor bedienden binnen 28 kalenderdagen (begindatum ziekte + 27 dagen).
16636,De artikel 60-medewerker bezorgt de aangifte nooit via een brievenbus van de mutualiteit.
16637,De artikel 60-medewerker bezorgt het nieuwe getuigschrift digitaal of per post aan de mutualiteit binnen 7 kalenderdagen (= einddatum van het laatste getuigschrift + 7 dagen) Herval ziekte Ging de artikel 60-medewerker werken en wordt deze opnieuw ziek?
16638,De artikel 60-medewerker bezorgt het nieuwe getuigschrift digitaal of per post aan de mutualiteit binnen 7 kalenderdagen (= begindatum ziekte + 7 dagen).
16639,De medewerker was langer dan 1 jaar arbeidsongeschikt (invaliditeit) en wordt opnieuw ziek binnen de 3 maanden.
16640,"Mensen hoeven zich daar geen zorgen over te maken, het is heel weinig werk."
16641,We zijn fier op onze straat en dat tonen we door er een groene straat van te maken.
16642,Ook doorheen het jaar probeer ik mijn buren te stimuleren om te vergroenen.
16643,"Speelstraat ""Tijdens de Groeidag toveren we onze straat ook om in een speelstraat."
16644,Dat vind ik heel waardevol.” Wil jij ook aan de slag gaan om je straat groener te maken?
16645,De berekening gebeurt op basis van de prestaties die de artikel 60-medewerker tijdens het vorige dienstjaar effectief leverde.
16646,Eindejaarspremie Artikel 60-medewerkers hebben geen recht op een eindejaarspremie.
16647,Daarnaast worden er besluiten gepubliceerd die niet verplicht bekendgemaakt moeten worden; ook deze vind je in de raadpleegomgeving.
16648,Klacht bij de toezichthoudende overheid Tegen beslissingen van de burgemeester kan een klacht worden ingediend.
16649,Lees meer Bevoegdheden burgemeester Iets fout of onduidelijk op deze pagina?
16650,Verder lezen Bekijk al het nieuws Ontdek hier onze activiteiten donderdag 10 oktober 8u - 10u Ontbijtbuffet Zandvliet Woonzorgcentrum Hof De Beuken Geniet van een lekker ontbijtbuffet op de afdeling Zandvliet.
16651,Verder lezen donderdag 10 oktober 9u30 Fietstocht De Genieters Dienstencentrum De Vrijgeweide Onder leiding van Patrick gaan onze sportievelingen weer fietsen.
16652,Verder lezen donderdag 10 oktober 14u - 16u Smulleke van den dag Dienstencentrum De Fontein Dienstencentrum Hoge Weg Onze heerlijke hamburgers zijn er weer met gebakken ajuin en saus naar keuze.
16653,"Verder lezen donderdag 10 oktober 15u - 16u Mindtraining sessies Dienstencentrum Oosterveld Door regelmatig geheugentrainingen en hersenspelletjes te doen worden cognitieve functies gestimuleerd, zoals geheugen, concentratie en probleemoplossend. 2-wekelijkse sessie."
16654,Start hier Ontdek onze dienstencatalogus Nieuwsgierig naar de diensten van Zorgbedrijf Antwerpen?
16655,Troeven Vind een dienstencentrum Activiteiten Kalender Meer Hoe kunnen we u helpen?
16656,"Samen zorgen we voor een avond vol troostende verhalen, foto’s en warme herinneringen."
16657,Onze medewerkers zijn die avond aanwezig om u bij te staan en om vragen te beantwoorden.
16658,Zo krijgen ook andere bezoekers een mooi beeld van alle dierbaren op die begraafplaats.
16659,"Nocturne op begraafplaats Floraliënhof in Berchem ""Weet je nog?"" U bent van harte welkom op de nocturne “Weet je nog?”."
16660,Samen is het altijd leuker In de dienstencentra is er voor elk wat wils.
16661,Samen in beweging blijven is gezond en gezellig. ​Geen reden om stil te blijven zitten in het dienstencentrum!
16662,Ook in onze woonzorgcentra organiseren we boeiende activiteiten voor de bewoners.
16663,"Er wordt al eens een glas gehoffen, een taart vol kaarsjes uitgeblazen, een kalkoen aangesneden."
16664,"Verjaardagen, kerst en Pasen en andere feestdagen, die laten we niet zomaar voorbijgaan."
16665,De meeste dienstencentra trekken bovendien jaarlijks een midweek naar zee of de Ardennen.
16666,"Creatief met uw talent Schilderen, zingen, bloemschikken … de dienstencentra bieden heel wat mogelijkheden aan om de kunstenaar in uzelf los te laten."
16667,"Of u nu een nieuwsgierige beginner of een gevorderde expressionist bent, maak en toon uw creaties in het dienstencentrum."
16668,"Cursussen en workshops Zijn uw kinderen en kleinkinderen mee met de nieuwste trends, dan moet u niet onderdoen."
16669,"In het dienstencentrum leert u werken met een computer, tablet, Facebook en zelfs spelletjes spelen op de Wii-spelcomputer."
16670,"Ook worden er cursussen koken, talen … en infosessies over gezondheids- of levensthema’s georganiseerd. ​ Hoeveel kost dat?"
16671,"Via de kalender vindt u de activiteit van uw keuze , en daarbij ook de prijs."
16672,Ook mensen jonger dan 65 komen in aanmerking voor een assistentiewoning.
16673,Dan wordt er gekeken naar het totaal aantal beschikbare assistentiewoningen en kan tot maximaal een vierde bewoond worden door die jongere leeftijdsgroep.
16674,"De meeste assistentiewoningen, ook die boven het gelijkvloers, zijn rolstoeltoegankelijk."
16675,"Sommige flats zijn ook aangepast aan rolstoelgebruikers, in de keuken, badkamer en slaapkamer."
16676,Vraag meer info over beschikbare assistentiewoningen Hoe ziet een assistentiewoning eruit?
16677,"U bent dus omringd met leeftijdsgenoten en kunt deelnemen aan de bewonersraad, waarin u kunt overleggen over ideeën of praktische afspraken."
16678,"Een plek waar u ‘s middags lekker en betaalbaar kunt gaan eten, waar u kunt deelnemen aan activiteiten, de computers kunt gebruiken ..."
16679,"Extra ondersteuning, wanneer nodig Thuis, in uw assistentiewoning, hoeft u zich geen zorgen te maken."
16680,"Als bewoner van een serviceflat heeft u voorrang wanneer u onze thuisdiensten (zoals huishoudhulp , poetshulp of thuisverpleging ) wenst."
16681,Dan kunt u met een gerust hart terecht in een woonzorgcentrum voor een tijdelijk verblijf .
16682,Heeft u een flat op het oog in een bepaalde wijk en wilt u alvast even komen kijken?
16683,"U bent bij ons altijd welkom, ook voor een rondleiding buiten de kantooruren."
16684,"Of hebt u nood aan een ruggensteuntje, bijvoorbeeld bij palliatieve zorg?"
16685,Onze medewerkers doen het met de glimlach. dagverzorgingscentra die verzorging en activiteiten aanbieden.
16686,In dat geval kan een tijdelijk verblijf in een woonzorgcentrum voor iedereen een aangename oplossing zijn.
16687,Kopen of huren Kom naar een informatiesessie Een antwoord op al uw vragen Wilt u weten of wonen in een assistentiewoning u zou bevallen?
16688,Verder lezen maandag 21 oktober 14u - 16u Infosessie assistentiewoningen Valaar in 2610 Wilrijk Dienstencentrum Valaar Wilt u weten of wonen in assistentiewoningen Valaar in 2610 Wilrijk u zou bevallen?
16689,Verder lezen vrijdag 25 oktober 10u - 12u Infosessie Assistentiewoningen De Veldekens in 2600 Berchem Dienstencentrum De Veldekens Assistentiewoningen De Veldekens Wilt u weten of wonen in assistentiewoningen De Veldekens in 2600 Berchem u zou bevallen?
16690,Verder lezen Alle informatiesessies assistentiewoningen Vind een assistentiewoning Aanvraag Meer In mijn assistentiewoning kan ik gerust genieten van elke dag.
16691,Aanvraag Vind uw verblijf Kom naar een informatiesessie Een antwoord op al uw vragen Overweegt u te verhuizen naar een woonzorgcentrum?
16692,"Zit u nog met vragen, dan nodigen we u graag uit op een infosessie, waar u kunt ontdekken wat leven in een woonzorgcentrum precies inhoudt."
16693,We sluiten onze infosessie af met een rondleiding doorheen het woonzorgcentrum en we bezoeken ook een kamer.
16694,Kalender Informatiesessies woonzorgcentra donderdag 17 oktober 14u - 16u Infosessie Woonzorgcentrum Eksterlaer in 2100 Deurne Woonzorgcentrum Eksterlaer Wilt u weten of wonen in woonzorgcentrum Eksterlaer in 2100 Deurne u zou bevallen?
16695,Verder lezen woensdag 23 oktober 10u - 12u Infosessie Woonzorgcentrum Hof De Beuken in 2180 Ekeren Woonzorgcentrum Hof De Beuken Wilt u weten of wonen in woonzorgcentrum Hof De Beuken in 2180 Ekeren u zou bevallen?
16696,Verder lezen donderdag 24 oktober 10u - 12u Infosessie Woonzorgcentrum Melgeshof in 2170 Merksem Woonzorgcentrum Melgeshof Wilt u weten of wonen in woonzorgcentrum Melgeshof in 2170 Merksem u zou bevallen?
16697,Verder lezen donderdag 24 oktober 14u - 16u Infosessie Woonzorgcentrum Bilzenhof in 2060 Antwerpen Woonzorgcentrum Bilzenhof Wilt u weten of wonen in woonzorgcentrum Bilzenhof in 2060 Antwerpen u zou bevallen?
16698,Verder lezen vrijdag 25 oktober 10u - 12u Infosessie Woonzorgcentrum 't Zand in 2050 Linkeroever Woonzorgcentrum 't Zand Wilt u weten of wonen in woonzorgcentrum 't Zand in 2050 Linkeroever u zou bevallen?
16699,Verder lezen donderdag 7 november 10u - 12u Infosessie Woonzorgcentrum Monnikenhof in 2040 Berendrecht Woonzorgcentrum Monnikenhof Wilt u weten of wonen in woonzorgcentrum Monnikenhof in 2040 Berendrecht u zou bevallen?
16700,Verder lezen woensdag 13 november 14u - 16u Infosessie Woonzorgcentrum Sint Bartholomeus in 2170 Merksem Woonzorgcentrum Sint Bartholomeus Wilt u weten of wonen in woonzorgcentrum Sint Bartholomeus in 2170 Merksem u zou bevallen?
16701,Verder lezen dinsdag 19 november 14u - 16u Infosessie Woonzorgcentrum Vinck Heymans in 2018 Antwerpen Woonzorgcentrum Vinck Heymans Wilt u weten of wonen in woonzorgcentrum Vinck Heymans in 2018 Antwerpen u zou bevallen?
16702,"Feest in Berendrecht! 24/09/2024 | Dienstencentrum Molengeest , Woonzorgcentrum Monnikenhof , Serviceflat De Molengeest , Serviceflat Hagelberghof Van vrijdag 15 tot zondag 17 november bruist het in Berendrecht."
16703,Tijdens het feestweekend wordt na de rondleiding een glaasje aangeboden aan alle bezoekers.
16704,Verder lezen donderdag 10 oktober 10u - 13u Infosessie Assistentiewoningen Huize Berchem in 2600 Berchem Dienstencentrum Huize Berchem Wil je weten of wonen in assistentiewoningen Huize Berchem in 2600 Berchem je zou bevallen?
16705,Verder lezen donderdag 10 oktober 11u - 12u Afhalen Zakgeld Woonzorgcentrum Hof De Beuken Hebt u zakgeld nodig?
16706,Verder lezen donderdag 10 oktober 12u - 16u Margot Beauty Collection Dienstencentrum De Olijftak Verwen jezelf of verras je geliefde.
16707,"Verder lezen donderdag 10 oktober 12u - 17u Mosselfeest met DJ banaan Dienstencentrum Tuinwijk Een gezellige middag met een heerlijke maaltijd van verse mosselen, frietjes en muziek van Dj banaan om van te genieten."
16708,Verder lezen donderdag 10 oktober 12u - 14u mosselen Dienstencentrum Kronenburg We serveren vanmiddag mosselen als middagmaal!
16709,Zorgbedrijf Antwerpen is een allesoplosser doorheen alle zorgmomenten in het leven.
16710,"Met meer dan 3.650 medewerkers bieden we meer dan 25.000 klanten comfort, zorg, plezier en een gerust gevoel, op maat van ieders wensen in alle districten van Antwerpen."
16711,"Elk jaar staat zo’n 1,5 miljoen keer een vriendelijke Zorgbedrijf-medewerker voor de deur om iemand thuis te helpen met poets- en huishoudhulp, thuisverpleging, een personenalarm, vervoer en meer."
16712,"Zorgbedrijf Antwerpen beheert daarnaast meer dan 4.000 assistentiewoningen, 4 dagverzorgingscentra en 17 woonzorgcentra, met zorgflats en gespecialiseerde afdelingen bv. voor personen met een handicap."
16713,In zorg(web)winkel De Schakel vindt iedereen bijna 1.000 producten en diensten die het dagelijks leven makkelijker te maken.
16714,"Daarnaast zorgen we via het merk Zorgbedrijf Vlaanderen in bijna 30 steden en gemeenten voor 1.400 assistentiewoningen, verschillende thuisdiensten, 4 dienstencentra en woonzorgcentrum Joostens (in Zoersel)."
16715,"Want we zijn allemaal vader of moeder, broer of zus, zoon of dochter, vriend of vriendin van iemand."
16716,"Maar wanneer dat moeilijk lukt of u uw familie liever geen extra ondersteuning vraagt, is Zorgbedrijf Antwerpen er voor u."
16717,"De medewerkers van onze dienstencentra, thuisdiensten, assistentiewoningen (serviceflats) en woonzorgcentra helpen u graag, zoals u het wilt."
16718,"Samen met u zoeken we de juiste combinaties , zodat u precies vindt wat u zoekt."
16719,Van een lekkere maaltijd in het dienstencentrum over thuishulp en vervoer tot een verblijf met alle verzorging die u nodig heeft.
16720,Lees meer over Zorgbedrijf Antwerpen in het administratief basisdossier Zorgbedrijf Antwerpen is een vergunde zorgaanbieder (VAPH) .
16721,U kunt dus onze diensten ook betalen met uw persoonsvolgend budget (vouchers of contant).
16722,"De woonzorgdiensten voor senioren die Zorgbedrijf Antwerpen aanbiedt, maakten vroeger deel uit van het OCMW van de stad Antwerpen."
16723,Zorgbedrijf Antwerpen werd als zelfstandige dochteronderneming opgericht in 2009.
16724,Milieu en klimaat De stand van zaken en de ingrepen die we samen doen voor het milieu en klimaat.
16725,"Meld of zeg het ons Vuil op straat, hondenuitwerpselen, schade aan het openbaar domein?"
